id,checksum,comment,company,developer,manufacturer
414,906bbb53-4eae-b5bb-28ae-446fc05ba508,,12004,True,True
411,e3a7bb91-cfbd-69d7-cfde-39ec6a3fe1b7,,128,True,False
412,958bf45d-8a2e-ef96-8629-94a637a5326c,,22185,False,True
372,c6a33aba-5738-c87a-3738-542dfbf2dd8a,,14897,True,True
405,a1d9b91a-b3f3-31c8-ec82-4f0c7e9263d0,,12385,True,False
371,a1ced8c2-4138-0e6f-c68c-28f1d1284dd1,,2104,False,True
369,17b4222b-4367-fc7d-5bfb-b49d2061bed1,,2123,False,True
368,0d7cf3cf-3b94-a2fb-5456-35a7e0428482,,14538,True,False
196,af2e1056-127a-4066-f8bb-0f7c49bdf9c5,,14859,True,False
194,2a10cc3c-6ee2-a59a-7967-d7e0a311f5b4,,2104,True,False
189,b580cfe1-99b8-dc6d-5463-3583c5944ca7,,14429,False,True
193,ba410a70-e406-a8ee-dc50-82d70d6c9ac3,,13634,True,False
185,81485559-625c-b3de-c847-4c8c680cf0c6,,10141,True,True
174,9c1a5e68-cf7d-23b8-4061-e75c581213bd,,128,True,False
171,2cf59778-5d67-ba6e-51f9-5b618252082b,,128,True,False
163,1dc09a45-9232-37d2-ac80-b082bc816448,,13524,True,True
160,bac8d89e-dbf9-6533-1845-c42777ea8c8d,,2426,True,True
156,4d92ef8d-9d6e-89b1-1cda-feac31975d79,,70,True,True
119,0f14f08b-9cbe-68af-a20f-b74fe6cf12f4,,70,True,True
111,eae65ef7-0cd2-4520-c85e-6c5d9952e01b,,9372,True,True
107,3796e541-24ff-f4c7-9541-a30830345f4e,,3151,True,True
103,f1573d47-38f3-5f43-f4a5-e02c3508d4b5,,2407,True,False
104,2343a587-7edb-755d-b6d2-d5554bb6c57f,,2407,True,False
99,2a900830-2ab8-c6a2-16ea-0c50475e27c5,,2407,True,False
100,1ac69144-49da-05b7-ae28-ca4431b36b79,,2407,True,False
102,3a3ce762-3303-b8db-527c-7b07e4b0e891,,2407,True,False
98,0b6c119a-2171-33dc-5a62-7e3d2a571019,,2407,True,False
94,e21a7c21-8851-596a-b080-741cea15da28,,2407,True,False
96,d7b4bf44-47f1-f03b-02a6-0fb3dc1266aa,,2407,True,False
97,23d5b4f2-ddb7-89ce-0e2e-a8b1e807ee46,,2407,True,False
87,1aeb30e0-14f5-50b5-93f9-0ebfd301a21a,,70,True,False
85,5c841886-8006-77b7-433f-f693b2b5cfc3,,2421,True,True
84,6f14aa6b-0ba5-c01a-0b96-54b824632742,,82,True,True
83,7ed7ab94-b358-877e-c646-57a58d2bef24,,617,True,True
86,948901c9-d997-81ac-2969-0fff7a48bcfe,,2421,True,True
82,af80df73-1af9-98db-297c-f62ee86ee39b,,617,True,True
79,623ccab8-9fa0-98bc-66ed-86f78af0330e,,128,True,False
80,aba0f81a-8877-23dc-7f08-e1cf5aea742a,,45,True,True
75,50b63c4e-b96a-1b36-6fc1-f01e0ad9b9d8,,2405,False,True
74,ca63cc39-c064-d584-c801-5ef327a5a3aa,,45,True,False
73,99c47c6d-ab25-7935-56d6-8422e42ee880,,45,True,True
71,5fb8c689-cd2a-3dfd-dc53-dc3bb8fb9a1f,,1799,True,True
35,9c7d4395-a50b-f770-5136-68b2c8df3eb9,,2408,True,False
30,24999c86-3533-d151-083c-e08a9f111063,,2407,True,False
33,ae5af229-d90d-bbe1-154f-be0f78e68c73,,128,True,False
24,b1f26954-2ee0-907a-4a54-7582c40932ee,,190,False,True
23,8da0e67f-3988-03b3-a0a0-84921982e900,,2406,False,True
25,f6f1b3cb-7517-b4b3-2a38-9f722ee7390a,,190,False,True
32,dd5b7e2b-8c8c-437c-39a1-09c9a24d3a2f,,2391,True,False
19,516f53d0-220b-3724-dfc9-dbad1ec9b77d,,1778,True,False
13,bba32c8b-af64-543a-b592-5efa0a5b5b22,,45,False,True
18,249dcdb4-33f4-4d84-60b0-86ff78640b49,,70,False,True
11,263eb0d4-df1e-10f2-55ba-a74db1b82ef8,,70,False,True
7,a87b2e66-b677-57a0-6d0b-2890515d8e8f,,2350,True,True
3,9b310657-674c-6e9c-98d9-12fc245d2e82,,128,True,False
5,c007c51b-85b7-f1d5-c013-2f4d849663c1,,2123,False,True
4,e9b66b9f-679c-5d39-2c9e-a50e65deb5c1,,2348,False,True
2,17ea4f71-e7e1-6ee5-fd36-35a72762387a,,45,True,False
1,459b2566-8c93-57b1-7b6f-13f539e2684e,,2123,False,True
108,16e1123b-d9ef-2f1b-2508-a4b98143c759,,3151,True,True
364,10b832c6-ddff-4293-67b2-d9ffbe3f7d73,,14897,True,False
358,461755e9-ed92-a465-6697-d85ebf5a0537,,20198,False,True
