id,checksum,companies,created_at,description,logo,name,platforms,slug,updated_at,url
1159,2fcc7af8-e3e3-f5b3-fe97-6834dba2d195,,1610008224,,,ShiVa3d,,shiva3d,1654619504,https://www.igdb.com/game_engines/shiva3d
1180,0cc2f951-d434-7e67-bc88-510ea11ad2b5,,1611299621,,,FMOD,,fmod,1689901078,https://www.igdb.com/game_engines/fmod
38,178ec82e-2ba3-0e59-bc57-f68bba28c486,,1404784134,,,Diesel,,diesel,1691007922,https://www.igdb.com/game_engines/diesel
270,79301f42-f45e-45a5-27c9-f34629b43777,,1441065600,,,Cinematique,,cinematique,1441152000,https://www.igdb.com/game_engines/cinematique
268,062a9498-bf6f-48bd-cd2e-ef8e82895054,,1440892800,,,c#,,c-number,1473206400,https://www.igdb.com/game_engines/c-number
283,7a87405b-2b38-f836-8e4c-1a7d30df1695,,1444176000,,,Ice-Peak Engine,,ice-peak-engine,1444176000,https://www.igdb.com/game_engines/ice-peak-engine
1054,99130888-2219-0e7e-7a6a-985a3373b19e,,1597234015,,,I.K.E.M.E.N,,ikemen,1633575284,https://www.igdb.com/game_engines/ikemen
488,00ce6a29-d8ca-8d51-7724-0fc681f0cbda,,1499799492,,,PC,,pc--1,1693184229,https://www.igdb.com/game_engines/pc--1
1278,ffafcac9-7921-ef2d-f4f2-64ebec20497d,,1625927679,,,MS30,,ms30,1631216705,https://www.igdb.com/game_engines/ms30
39,94dbecb2-d6b7-f7f4-daec-877f6fd86759,,1405672526,,,SCI1.1,,sci1-1,1650893960,https://www.igdb.com/game_engines/sci1-1
1147,eb7f6cd6-ff09-6b2f-5c4b-e90bce58229f,,1608768000,,,Invention,,invention,1609200000,https://www.igdb.com/game_engines/invention
1009,2eb741c6-a3b4-8a0c-1b74-a69b03168634,,1593129600,,,KRASS Engine,,krass-engine,1593129600,https://www.igdb.com/game_engines/krass-engine
623,0ea8e050-bfe1-9dbb-09f3-66c3d229536f,,1551398400,,,Abyss Engine,,abyss-engine,1551398400,https://www.igdb.com/game_engines/abyss-engine
673,144a1ccb-1510-3ab8-9009-7e28d18ccefa,,1554768000,,,Serious Engine 4.0,,serious-engine-4-dot-0,1554854400,https://www.igdb.com/game_engines/serious-engine-4-dot-0
346,3e9a3764-66cb-b458-9626-352e5d340acc,[420],1463900231,,,Road Hog Engine,,road-hog-engine,1646341907,https://www.igdb.com/game_engines/road-hog-engine
143,063c0560-d70a-82a5-13e3-059d44ac6557,,1419161324,,,Sierra's Creative Interpreter,,sierras-creative-interpreter,1660527301,https://www.igdb.com/game_engines/sierras-creative-interpreter
1137,d90f3707-a893-5616-3bde-01c04cb85880,,1606867200,,,Go,,go,1606867200,https://www.igdb.com/game_engines/go
163,59373941-4f86-af38-751c-bc8dcf88283e,,1421699863,,0,CloakNT3,,cloaknt3,1663596797,https://www.igdb.com/game_engines/cloaknt3
59,0ddc869a-4092-5c63-02c8-39bd052778ca,,1407353912,,,Impact Engine,,impact-engine,1678063975,https://www.igdb.com/game_engines/impact-engine
1441,bbcd9c82-f594-a2fb-604a-d662d046be55,[856],1663846813,,0,Spark,"[3, 6]",spark,1663851599,https://www.igdb.com/game_engines/spark
27,4f21e4d0-99dc-ebf2-37ba-d347cc8736e2,[78],1402963200,,,Dark Alliance Engine,"[6, 8, 9, 11, 12, 21, 38]",dark-alliance-engine,1442016000,https://www.igdb.com/game_engines/dark-alliance-engine
