id,checksum,created_at,games,name,slug,updated_at,url
8787,e1c7cafc-4555-1244-95ec-12ed7f2cb33a,1684367762,"[135094, 250066]",The Legend of the Radient Mask,the-legend-of-the-radient-mask,1684367844,https://www.igdb.com/collections/the-legend-of-the-radient-mask
3433,6dd3ad04-8a3d-e452-5ed7-0be516fc0892,1507573706,"[69366, 71784]",Taito Memories,taito-memories,1677186208,https://www.igdb.com/collections/taito-memories
7089,912862f8-e8fe-23e1-fc4f-fc41cd71f85b,1623243964,"[56388, 151998, 153805, 154228, 154229, 154231, 154232, 154638, 154639, 154641, 154642, 154643, 154645, 231771, 231772]",Chunithm,chunithm,1692677128,https://www.igdb.com/collections/chunithm
601,337edcf9-2a48-69d6-586b-82460dc1e5b4,1389032285,"[3462, 3463, 3464, 3465, 3466]",Custom Robo,custom-robo,1693487900,https://www.igdb.com/collections/custom-robo
3728,c5e99d64-5cb6-9315-53ba-822db6a0290f,1507807816,[12132],Cabal,cabal,1507807816,https://www.igdb.com/collections/cabal
2001,d9b9b76e-a7e2-7318-34cf-4d0926e9ed30,1452761246,"[16086, 16087, 16088]",Build-A-Lot,build-a-lot,1683871363,https://www.igdb.com/collections/build-a-lot
7621,aaab93e0-890d-0440-f1ef-68d6320dd310,1644358346,[191364],Doomori,doomori,1644358348,https://www.igdb.com/collections/doomori
7685,09dc0d4a-3c4d-4d1a-79e4-bf8d1007225e,1646697837,"[91898, 91899]",Zeebo F.C.,zeebo-fc,1681354699,https://www.igdb.com/collections/zeebo-fc
1121,6544f3f1-42d2-9450-be6b-ecf48797e3cb,1418482401,"[3759, 8321]",Feeding Frenzy,feeding-frenzy,1686021899,https://www.igdb.com/collections/feeding-frenzy
2081,d6112475-b59d-bd47-7ad5-9b2b94917dd0,1457257161,[18175],Space Pilgrim,space-pilgrim,1457257161,https://www.igdb.com/collections/space-pilgrim
3868,096f6272-ca66-ecee-f859-314cf11821da,1507815505,"[33763, 58884]",Flippin' Phones,flippin-phones,1667669929,https://www.igdb.com/collections/flippin-phones
3782,d8c13c19-ddc7-253f-1769-997b52524bcc,1507814107,"[41236, 41275, 43921, 48504, 49302]",Exciting Sports,exciting-sports,1686065024,https://www.igdb.com/collections/exciting-sports
8175,ff5d6bdc-2d74-6f18-2387-f64ddd765b0b,1661215195,"[87024, 214349]",talking tom,talking-tom,1692563168,https://www.igdb.com/collections/talking-tom
2442,e6775638-49f9-9a66-4d1e-1ffe57ada911,1474918215,"[9214, 26341, 26771, 136197]",Dragon Quest Heroes,dragon-quest-heroes,1689725327,https://www.igdb.com/collections/dragon-quest-heroes
5294,71c34b3d-f76b-2348-640b-c42fd9a7a946,1516127718,"[77541, 132346]",Blast Rush,blast-rush,1643858769,https://www.igdb.com/collections/blast-rush
5009,38e4843a-dc34-0244-158e-26af7e55aa90,1512940327,"[70028, 72015]",of Excalibur,of-excalibur,1685357808,https://www.igdb.com/collections/of-excalibur
4424,d0e68a3d-a761-cf03-b666-eabe9fd20640,1512735657,"[6771, 24225]",Freakyforms,freakyforms,1670973217,https://www.igdb.com/collections/freakyforms
7884,167dd437-6d01-b4a7-94f0-f6312407087b,1652951654,[202088],Paso Pico,paso-pico,1652951769,https://www.igdb.com/collections/paso-pico
8746,a844193e-71ba-0926-889d-c3326d27ac40,1682556387,[71616],Immoral Study,immoral-study,1682593552,https://www.igdb.com/collections/immoral-study
1624,5f837675-7a98-290e-269f-98725f47ad4a,1441267399,"[9886, 12211, 41038, 221558, 256600, 256608]",Metal Gear Acid,metal-gear-acid,1690830380,https://www.igdb.com/collections/metal-gear-acid
3756,1816fb24-6564-fe9d-9420-c5aa96620675,1507813106,"[13058, 70204]",Dick Tracy,dick-tracy,1685539027,https://www.igdb.com/collections/dick-tracy
1891,a8a566ec-b272-9fcf-5741-4bae668af3f9,1449244093,"[7960, 14742, 114146]",AVGN Adventures,avgn-adventures,1693488316,https://www.igdb.com/collections/avgn-adventures
7752,9b1880e5-3fd6-a537-1b28-30690b854ac1,1649067115,[134167],Zaphie,zaphie,1653153693,https://www.igdb.com/collections/zaphie
8905,84337259-b491-3d9d-e24a-adba3a050bf9,1691059599,"[48301, 48302]",Nakajima Satoru: F-1 Hero,nakajima-satoru-f-1-hero,1691059623,https://www.igdb.com/collections/nakajima-satoru-f-1-hero
4478,92f9343d-e328-6f6d-93fe-d64001cc8233,1512758759,[66218],Vantage Master,vantage-master,1512758759,https://www.igdb.com/collections/vantage-master
8232,e444ed92-5380-a073-a437-951e6ff6464d,1662970925,"[216429, 216439, 217804]",Mr Jump,mr-jump,1663289175,https://www.igdb.com/collections/mr-jump
3786,2b5e485c-5b32-3203-9e5c-793ca2ed961d,1507814119,"[47928, 66742]",Poptropica,poptropica,1672220200,https://www.igdb.com/collections/poptropica
1639,668fe36d-3483-a0ce-8a01-bee302c6528c,1441489272,"[12377, 12378]",Jacob Jones and the Bigfoot Mystery,jacob-jones-and-the-bigfoot-mystery,1441489272,https://www.igdb.com/collections/jacob-jones-and-the-bigfoot-mystery
2672,8d3f5eda-7946-ad1d-8d5e-144425a5512d,1493057797,[28223],feeling terrible,feeling-terrible,1493057797,https://www.igdb.com/collections/feeling-terrible
5497,7a799995-44d1-e869-658c-528e4246ca28,1537169574,[109486],Defend The Tower: TD strategy,defend-the-tower-td-strategy,1537169574,https://www.igdb.com/collections/defend-the-tower-td-strategy
1604,c53ebfe2-fc68-de93-9d5f-84741617db45,1441119467,"[10235, 13495]",Chuckie Egg,chuckie-egg,1692255346,https://www.igdb.com/collections/chuckie-egg
5415,c3fe4187-f70b-f2ba-4e52-12546d321ec7,1524428396,"[11636, 11637]",XBlaze,xblaze,1681971609,https://www.igdb.com/collections/xblaze
5552,298dbcec-cd12-c341-a982-252c60d1b30e,1547894393,[69007],aion,aion,1661952386,https://www.igdb.com/collections/aion
5319,ffb4662f-a315-ec35-9307-6c90c5b613a4,1516563838,"[30079, 81802]",Xmas Zombie Rampage,xmas-zombie-rampage,1667386123,https://www.igdb.com/collections/xmas-zombie-rampage
2671,2ccada93-989e-4f66-b471-9e6e5c9fa040,1492979331,"[28209, 74167]",Warscape,warscape,1681392374,https://www.igdb.com/collections/warscape
2359,96d96cda-25b5-b3d2-bc9a-cb6839635534,1470917134,[22420],Stiffy Makane,stiffy-makane,1470917134,https://www.igdb.com/collections/stiffy-makane
1336,1c25df69-40e4-9fcb-9012-f12d5cc4ed77,1430337530,"[9776, 10008]",AURA,aura,1681399087,https://www.igdb.com/collections/aura
3906,b96b7ed0-c37e-1cdb-8895-b772dd495542,1507816596,[9096],KISS,kiss,1689813739,https://www.igdb.com/collections/kiss
8757,4d1ce6c3-5e08-2a09-4024-314215ef95ab,1682929508,"[102, 7115, 248135, 248136]",Need for Speed: Shift,need-for-speed-shift,1692966817,https://www.igdb.com/collections/need-for-speed-shift
8014,b57ebd38-36c2-a48d-c23d-9a859dc6e9fa,1656019720,"[70666, 70669, 124276]",Shugo Chara,shugo-chara,1685934603,https://www.igdb.com/collections/shugo-chara
2121,624fabc6-27e0-31c7-550c-dad7788b6f74,1459759870,"[18620, 18621, 62035, 229440, 229456]",Rally-X,rally-x,1693455823,https://www.igdb.com/collections/rally-x
753,a33ca665-4f48-2046-9f37-e6a63b2ce9b2,1391858493,[5091],Paws and Claws,paws-and-claws,1391858493,https://www.igdb.com/collections/paws-and-claws
8320,2a76385b-b17c-11ee-6cb2-ba5e0656f78d,1664119532,"[101176, 135337]",Bloodstained: Curse of the Moon,bloodstained-curse-of-the-moon,1691145885,https://www.igdb.com/collections/bloodstained-curse-of-the-moon
5911,b238bac5-ea71-7ff9-b17e-c2bd21756ec2,1575199961,"[107776, 124392, 126470, 147418]","one night , hot springs",one-night-hot-springs,1693471797,https://www.igdb.com/collections/one-night-hot-springs
3808,0d1992e3-2a6c-440b-4d65-3bbb0e99791b,1507814311,"[8364, 50228, 50229, 50230]",Twisted Lands,twisted-lands,1693308602,https://www.igdb.com/collections/twisted-lands
4845,95cfbbce-7e36-3563-758b-9a9711195b4b,1512856076,"[1378, 28923]",R.I.P.,rip--1,1685424390,https://www.igdb.com/collections/rip--1
8327,305b10a9-0f4c-3256-0b46-22b55ad1897b,1664285509,"[218764, 218766, 218777, 218825]",Prima Doll,prima-doll,1689839357,https://www.igdb.com/collections/prima-doll
8116,27041a8b-cf20-9066-131a-8e440969fb58,1658905301,[4469],Volfied,volfied,1668668584,https://www.igdb.com/collections/volfied
1865,a06e14bf-95d2-bd17-53b5-8b47ce4074d2,1448126615,"[14619, 14620, 141135]",Club Football,club-football,1683787185,https://www.igdb.com/collections/club-football
1901,0b55d2d0-5f1b-103a-c488-23a1e87136ed,1449421092,"[14778, 14779]",Jerome Lange,jerome-lange,1449421092,https://www.igdb.com/collections/jerome-lange
2039,d08b12da-e7f1-edb3-57fd-af5bf13d235d,1454711569,"[17263, 28719, 43776, 60928, 63987, 72781]",Golden Tee Golf,golden-tee-golf,1688025003,https://www.igdb.com/collections/golden-tee-golf
186,2d37bc4c-b2e7-c799-f239-3cba381473bc,1320263345,"[834, 7134, 8391, 10713, 121764]",Port Royale,port-royale,1692620761,https://www.igdb.com/collections/port-royale
4658,2a1c4147-63dc-f76e-7227-61a62aa0377c,1512851355,"[4520, 4524, 50786]",Hoopz Barkley SaGa,hoopz-barkley-saga,1692896603,https://www.igdb.com/collections/hoopz-barkley-saga
8295,4f5932f0-6ec4-a4fc-3e1d-9acdee0e3297,1663676110,"[218229, 218230, 218243]",Triple Vision,triple-vision,1663685013,https://www.igdb.com/collections/triple-vision
132,86196dc8-6dcd-5394-e3a5-10d50da42c93,1317936896,"[820, 897, 1336]",No One Lives Forever,no-one-lives-forever,1693223646,https://www.igdb.com/collections/no-one-lives-forever
5470,a9d8e785-1f1d-4430-6365-2b74f735c74a,1531737392,[90428],Virtual Pet,virtual-pet,1531737392,https://www.igdb.com/collections/virtual-pet
722,e76092d1-32ba-539c-af58-d9b2beceb66d,1391364150,"[3888, 4816, 6382, 21121, 37963, 38132, 38133, 65546, 79598, 81411, 234349]",Dokapon,dokapon,1692896843,https://www.igdb.com/collections/dokapon
2619,ee37707e-815d-0819-481c-5829f5e23946,1487694627,[27350],Realm of Wretched Nightmares,realm-of-wretched-nightmares,1487694627,https://www.igdb.com/collections/realm-of-wretched-nightmares
8117,a7c122df-3633-e95e-8808-3ce298997900,1658905514,[78738],The Legend of Xanadu,the-legend-of-xanadu,1670951834,https://www.igdb.com/collections/the-legend-of-xanadu
2012,3cf96228-5839-37c2-cc66-6a89f1cfccc8,1453191258,"[70956, 79804]",Magic & Mayhem,magic-and-mayhem,1661191088,https://www.igdb.com/collections/magic-and-mayhem
1520,949f13ce-a6fb-613c-1fa2-28acdcf5f2b7,1437585265,[11353],Silverfall,silverfall,1437585265,https://www.igdb.com/collections/silverfall
7927,0fbf4b0d-d969-f3e9-85b6-96a68261d860,1654610841,"[49737, 75750]",One Piece: Ocean's Dream,one-piece-oceans-dream,1683094702,https://www.igdb.com/collections/one-piece-oceans-dream
1871,ab02169f-cfaf-afaf-ff46-06bf0df425f6,1448202549,"[14656, 80636]",Bug Bash,bug-bash,1691366575,https://www.igdb.com/collections/bug-bash
4995,4abf02b1-8323-f097-06fc-2dcbb290de1f,1512907676,"[3971, 78290]",Largo Winch,largo-winch,1690359519,https://www.igdb.com/collections/largo-winch
2876,889373ea-5dcc-5561-6e3b-8839080ec651,1503039105,"[12893, 18144, 46142, 46143, 46144, 46145, 46150, 46672]",Great Sports,great-sports,1692989463,https://www.igdb.com/collections/great-sports
