id,checksum,game,game_feature,included_feature,note
1621,e36a7847-0829-9bd7-454e-d91d051bc8d9,2151,407,0,
1622,abd6fbe0-33cf-079a-29f2-8c1242a42fa4,74897,407,1,
1623,e697ca44-bc3b-6290-2b84-7ebbcb0b30b0,2151,408,2,
1624,1fe7875a-8726-0a69-f3c9-2f74685e11a2,74897,408,1,
1625,6267ac21-e5b8-f658-561a-c84b1c440882,2151,409,2,
1626,1f26dbb5-aaff-a442-32be-211448d1c978,74897,409,1,
1627,81a35b67-fca7-ebfd-6237-822af26bd890,74898,404,1,
1628,0dae6092-b4e2-8b47-d152-d66b5725319e,74898,405,0,
1629,e94fb3e0-add4-95fd-7d8d-44254d25f986,74898,406,0,
1630,e93ec3ab-793e-f3e4-2a51-e3e180d27836,74898,407,0,
1631,b333ca68-2348-a57e-2576-2c9288df1817,74898,408,0,
1632,6b3f7ce9-ff10-842f-d703-60e7e5b094c0,74898,409,0,
1633,af7e167d-33d9-c6e6-a6e8-0f2a2cfbf28c,2151,410,0,
1634,2ea0d587-03ed-a501-4506-9e1e42c0532a,74897,410,0,
1635,2eb2f6e0-b433-1188-3d59-54f279935102,74898,410,1,
1636,e1cbb49a-4d53-f2d0-49f3-205adf0f835e,2151,411,0,
1637,35882c11-065c-829c-e42b-8c91f4668884,74897,411,0,
1638,1e1183cc-0dfd-33af-2b7f-f0d981e17631,74898,411,1,
1639,ab2bb5ed-f175-bebf-21fd-477e0609acde,2151,412,0,
1640,674de25b-e635-8ec8-832f-fa6d4db9ba35,74897,412,0,
1641,d6027ae8-1171-e091-dc67-b941f920cf7e,74898,412,1,
1642,3513cd0a-41f2-af0f-21f1-3d6dbfbd472f,2151,413,0,
1643,50146dc7-76dd-8e18-0f05-ab4e9b3dd6f3,74897,413,0,
1644,3d95c19d-4a26-b56c-c802-e0d849e0fd21,74898,413,1,
1645,db85e4c3-1384-c4f3-ac1d-4df03b0d85e9,74899,404,0,
1646,3bb4998c-0222-dcb5-c4b2-7d0740c6f305,74899,405,0,
1647,84c208d5-f057-d9f7-fc48-0d02c7330d28,74899,406,0,
1648,93db919f-bfcf-f872-1a1b-b67d67caf585,74899,407,0,
1649,ec2c516b-0ec0-86c7-61b8-c99353ea1501,74899,408,0,
1650,4dd82efa-40e0-275c-cf10-2cc9478105f6,74899,409,1,
1651,3a8a5a96-b3a0-50f4-f307-ddd4e9ce2d7c,74899,410,0,
1652,0cf19810-e7fd-5cf9-a665-864f0d757887,74899,411,0,
1653,59f7f540-63e9-167c-a01d-6a9101837dbc,74899,412,1,
1654,cfda8a51-18e7-996a-41fd-134edc7ea9af,74899,413,0,
1655,0e316bbe-dc5d-d810-f705-56e678f49e63,2151,414,0,
1656,b27648b7-1705-bcd9-b0bc-d7028ee3618e,74899,414,1,
1657,b983f370-cab4-84e0-d23c-d22565f8eb34,74897,414,0,
1658,6afbc41c-d733-59c6-aff3-f5d8c165eb13,74898,414,0,
1659,1e2d5a78-c74c-c539-644c-fe4bd69ea175,2151,415,0,
1660,7a6f6238-4384-24c6-ebcd-86d803060eb5,74899,415,1,
1661,3db16ce8-23b8-c45b-fd30-bd0b10c2997c,74897,415,0,
1662,d77bb9c8-c515-ba58-6793-4c818fc0d74d,74898,415,0,
1663,a4a04061-3df7-5443-5c41-c31463b8476d,2151,416,0,
1664,e9e7cc54-da4c-7290-f2bd-00d074cc1d72,74899,416,,Exclusively sold in Japan
1665,45b32201-5de8-f6ea-01b3-e49641125624,74897,416,0,
1666,47b7d872-23bb-648d-6568-0f107e4aabda,74898,416,,Exclusively sold in Europe
1667,ed901613-8625-6339-5d70-4a3dc997011e,21063,417,0,
1668,c4bb06e9-1013-d752-d2c2-5bb3b1bae800,28538,417,1,
1669,9126dd4e-b47d-e9f5-efb2-fd1df46ee8e0,21063,418,0,
1670,0591daa7-3bb6-0522-0446-22e327a35189,28538,418,1,
1671,80c93a1f-6d5c-86d7-fe41-a0f8b0d5e905,21063,419,0,
1672,eb013339-f886-b76a-99c2-9e17e7389585,28538,419,1,
1673,1659dc3d-95e6-2b6f-2dcd-7d9af7a4386a,21063,420,0,
1674,6517970d-3544-aa23-8dd1-3d2c5ee12dd7,28538,420,1,
1675,8880b89e-1f55-c44a-a62a-3718bb18ca9e,21063,421,0,
1676,ae88c168-363f-a1db-df16-df037c0862a1,28538,421,1,
1677,e19fba90-45bb-d5a2-ef32-fa0884393f35,21063,422,0,
1678,e458f987-beb2-8e58-b1a3-239b17887ffb,28538,422,1,
1679,eef75d1f-d6b2-721f-2828-a14bb22c4046,74,423,0,
1680,c35dae94-2c10-77e9-e9a4-9053d0f0f6c9,43957,423,1,
1681,cb9ad5e5-40e8-e557-96b5-b68c6de8ddad,74,424,0,
1682,1820ec4c-8d76-f35c-89fc-f84653cec4bc,43957,424,1,
1683,be950976-ec2d-502f-77a0-75d39bd0ba2a,74,425,0,
1684,03153791-326f-701c-2fa1-46f70c630536,43957,425,1,
1685,e42f571b-6cae-8d6b-c1de-345f3dda68fd,74,426,0,
1686,0af1d8a1-e96c-7dc6-3636-927e9617ed26,43957,426,1,
1687,328e86c7-bece-286d-7d63-e17b99125691,74,427,0,
1688,f17e1447-944c-2d5a-c65c-2a2a39792da1,43957,427,1,
1689,8528ce87-fdd3-d49a-7d6b-78a006558054,75,428,0,
1690,c7fb50d0-80f8-0de7-35cd-b195de5f9ce0,45180,428,1,
1691,62704635-a77c-2465-ec61-45565c1632db,21697,428,0,
1692,de2c2f6e-700b-163b-bcc0-2a76890d5c00,75,429,0,
1693,2522e7ee-824d-44dc-9a7f-c184cd44fdf0,45180,429,1,
1694,42f55a91-cb19-f907-b3a7-d1246394d0db,21697,429,0,
1695,83c4c0a6-e5d0-390e-550c-e3cfbd147f7c,75,430,0,
1696,50e30e30-14d0-f295-fa11-ee6c596a34d5,45180,430,1,
1697,4397b95b-d6bb-bf0b-cca4-2faedbbe0be1,21697,430,0,
1698,4e372a95-1bf9-0093-d232-6b2b13321c27,75,431,0,
1699,d21bd0be-e4ff-be03-d2b3-b93e1f84ee2d,45180,431,1,
1700,dbc3787c-c7f2-436b-df84-814e2b38d54e,21697,431,0,
1701,e53672cd-46b7-0c61-363b-40ff1f8af663,75,432,0,
1702,87ae4a56-c923-ec29-692a-7ef8a62a150b,45180,432,1,
1703,576f0777-ee22-6a97-985e-726d703f0595,21697,432,0,
1704,8a759e28-be39-5020-210a-6a1e0f5bbd27,75,433,0,
1705,0355cd1f-2272-8317-abb2-ade3d56330f2,45180,433,1,
1706,f13aa005-0057-272e-03c1-866d4de476ba,21697,433,0,
1707,c33b41e6-e5dd-8a2a-b2ab-d2d656e9da1c,75,434,0,
1708,b7ed637c-659b-627e-f7f3-db3c4af55b75,45180,434,1,
1709,ba85419c-10f0-023f-033f-9be33cab955b,21697,434,0,
1710,c8d450da-8244-1b8c-b1c6-4f83e056dcc5,75,435,0,
1711,90f748c5-4dde-8ba7-536a-8bae1a510500,45180,435,1,
1712,efe134fa-58da-232d-1a92-f0bbb31670b1,21697,435,0,
1713,65f5cf70-7785-e5f9-834e-fa72ae3903d0,75,436,0,
1714,80f433d6-c0cf-1486-8bb7-2fb6811d77f4,45180,436,1,
1715,95113ce0-4c6d-49e3-2512-e3b672826b22,21697,436,0,
1716,d56aef61-5edc-1740-589c-3e7e559b12f2,75,437,0,
1717,93b6f3a1-b4ad-69b6-1aa5-b3b5f962c481,45180,437,1,
1718,947e8ee9-16a6-fbe1-cccb-263174e8ae04,21697,437,0,
1719,39329834-5f4f-e3ec-920f-da92499b8049,36662,438,2,
